ANO,COMPETÊNCIA,MACROREGIÃO,UF,CÓDIGO DO MUNICÍPIO,MUNICÍPIO,CNES,NOME FANTASIA,RAZÃO SOCIAL,CNPJ DO ESTABELECIMENTO,CNPJ DA MANTENEDORA,ATIVIDADE PRINCIPAL,ATENDIMENTO PRESTADO,TIPO DO ESTABELECIMENTO,SUBTIPO DO ESTABELECIMENTO,TIPO NOVO DO ESTABELECIMENTO,NATUREZA JURÍDICA CATEGORIA,NATUREZA JURÍDICA,GESTÃO,CONVÊNIO SUS,NÍVEL DE ATENÇÃO,TURNO DE ATENDIMENTO,LEITOS EXISTENTES,LEITOS SUS,STATUS DO ESTABELECIMENTO,LOGRADOURO,COMPLEMENTO DO ENDEREÇO,TELEFONE,CEP,BAIRRO,E-MAIL,DIRETOR RESPONSÁVEL,DATA DO CADASTRO,DATA DE DESATIVAÇÃO,location,latitude,longitude
2026,2026/04,NORDESTE,MA,211130,SAO LUIS,2456834,CENTRO DE SAUDE QUEBRA POTE,SECRETARIA MUNICIPAL DE SAUDE,,05.760.293/0001-29,012 ATENCAO BASICA,"SUS|AMBULATORIAL, SUS|SADT",02 CENTRO DE SAUDE/UNIDADE BASICA,,001 UNIDADE BASICA DE SAUDE,PÚBLICO,1031 ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL,MUNICIPAL,SIM,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE",03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,-,-,ATIVO,PRACA DO CEMITERIO - S/N,,,65010-000,QUEBRA POTE,leticiamonroe2@gmail.com,LETICIA DE KASSIA COSTA FERES,02/06/2004,-,"-2.6923404,-44.2155818",-2.6923404,-44.2155818
2026,2026/04,NORDESTE,MA,211130,SAO LUIS,2455838,CENTRO DE SAUDE DO JOAO PAULO,SECRETARIA MUNICIPAL DE SAUDE,,05.760.293/0001-29,012 ATENCAO BASICA,SUS|AMBULATORIAL,02 CENTRO DE SAUDE/UNIDADE BASICA,,001 UNIDADE BASICA DE SAUDE,PÚBLICO,1031 ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL,MUNICIPAL,SIM,AMBULATORIAL - 01 ATENCAO BASICA,03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,-,-,ATIVO,RUA GOSTINHO TORRES - S/N,,,65040-150,JOAO PAULO,centrodesaudejoaopaulogestor@gmail.com,VITOR DOUGLAS PEREIRA DE CASTRO,15/04/2004,-,"-2.5445474322498587,-44.273101187415165",-2.5445474322498587,-44.273101187415165
2026,2026/04,NORDESTE,MA,211130,SAO LUIS,2645807,CENTRO DE SAUDE SANTA EFIGENIA,SECRETARIA MUNICIPAL DE SAUDE,,05.760.293/0001-29,012 ATENCAO BASICA,SUS|AMBULATORIAL,02 CENTRO DE SAUDE/UNIDADE BASICA,,001 UNIDADE BASICA DE SAUDE,PÚBLICO,1031 ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL,MUNICIPAL,SIM,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE",03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,-,-,ATIVO,RUA TANCREDO NEVES - S/N,,,65010-000,SANTA EFIGENIA,santaefigeniausf@gmail.com,ANTONIA MARIA SANTOS DO LAGO,25/11/2002,-,"-2.576758213711975,-44.19195808377194",-2.576758213711975,-44.19195808377194
2026,2026/04,NORDESTE,MA,211130,SAO LUIS,2309440,CENTRO DE SAUDE ITAPERA,SECRETARIA MUNICIPAL DE SAUDE,,05.760.293/0001-29,012 ATENCAO BASICA,SUS|AMBULATORIAL,02 CENTRO DE SAUDE/UNIDADE BASICA,,001 UNIDADE BASICA DE SAUDE,PÚBLICO,1031 ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL,MUNICIPAL,SIM,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE",03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,-,-,ATIVO,RUA PRINCIPAL - 21,,,65010-000,ITAPERA,fabiannaadm@hotmail.com,FABIANNA ALBUQUERQUE DA SILVA,02/06/2004,-,"-2.678204820715199,-44.27637353827428",-2.678204820715199,-44.27637353827428
2026,2026/04,NORDESTE,MA,211130,SAO LUIS,2698005,CENTRO DE SAUDE DR JOSE RIBAMAR FRAZAO CORREA,SECRETARIA MUNICIPAL DE SAUDE,,05.760.293/0001-29,012 ATENCAO BASICA,SUS|AMBULATORIAL,02 CENTRO DE SAUDE/UNIDADE BASICA,,001 UNIDADE BASICA DE SAUDE,PÚBLICO,1031 ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL,MUNICIPAL,SIM,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE",03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,-,-,ATIVO,RUA TANCREDO NEVES - S/N,,(98) 3241-5803,65010-000,NOVA REPUBLICA,ilmaralima0808@gmail.com,FRANCISCA ILMARA LIMA DE SOUZA,03/09/2003,-,"-2.6422066246014846,-44.27605244740161",-2.6422066246014846,-44.27605244740161
2026,2026/04,NORDESTE,MA,211130,SAO LUIS,2697971,CENTRO DE SAUDE DJALMA MARQUES,SECRETARIA MUNICIPAL DE SAUDE,,05.760.293/0001-29,012 ATENCAO BASICA,SUS|AMBULATORIAL,02 CENTRO DE SAUDE/UNIDADE BASICA,,001 UNIDADE BASICA DE SAUDE,PÚBLICO,1031 ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL,MUNICIPAL,SIM,AMBULATORIAL - 01 ATENCAO BASICA,03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,-,-,ATIVO,AV 01 - S/N,,,65065-680,TURU,hildafernandesbarreto2014@gmail.com,HILDA FERNANDES DE SOUSA,03/09/2003,-,"-2.5240511428916443,-44.21658153251017",-2.5240511428916443,-44.21658153251017
2026,2026/04,NORDESTE,MA,211130,SAO LUIS,3376265,CENTRO DE SAUDE VILA EMBRATEL,SECRETARIA MUNICIPAL DE SAUDE,,05.760.293/0001-29,012 ATENCAO BASICA,SUS|AMBULATORIAL,02 CENTRO DE SAUDE/UNIDADE BASICA,,001 UNIDADE BASICA DE SAUDE,PÚBLICO,1031 ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL,MUNICIPAL,SIM,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE",03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,-,-,ATIVO,RUA 14 - S/N,,(098) 3212-8913,65010-000,VILA EMBRATEL,ubsvilaembratel@gmail.com,DIEGO RAI DE AZEVEDO COSTA,04/02/2005,-,"-2.569615550253985,-44.30984275401932",-2.569615550253985,-44.30984275401932
2026,2026/04,NORDESTE,MA,211130,SAO LUIS,2458780,CENTRO DE SAUDE DO TIBIRI,SECRETARIA MUNICIPAL DE SAUDE,,05.760.293/0001-29,012 ATENCAO BASICA,SUS|AMBULATORIAL,02 CENTRO DE SAUDE/UNIDADE BASICA,,001 UNIDADE BASICA DE SAUDE,PÚBLICO,1031 ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL,MUNICIPAL,SIM,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE",03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,-,-,ATIVO,RUA PRINCIPAL - S/N,,(98)2417355,65095-820,TIBIRI,ingrid.sousandrade@gmail.com,INGRID SOUSA ANDRADE,26/12/2003,-,"-2.612061100986133,-44.2470294728033",-2.612061100986133,-44.2470294728033
2026,2026/04,NORDESTE,MA,211130,SAO LUIS,2645750,CENTRO DE SAUDE JAILSON ALVES VIANA OLIMPICA III,MUNICIPIO DE SAO LUIS SECRETARIA MUNICIPAL DE SAUDE,,05.760.293/0001-29,012 ATENCAO BASICA,SUS|AMBULATORIAL,02 CENTRO DE SAUDE/UNIDADE BASICA,,001 UNIDADE BASICA DE SAUDE,PÚBLICO,1031 ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL,MUNICIPAL,SIM,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE",03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,-,-,ATIVO,AVENIDA 04 - S/N,QUADRA 101,(098) 3276-6039,65050-000,CIDADE OLIMPICA,dayanakelly19@gmail.com,DAYANA KELLY PEREIRA CRAVEIRO DO NASCIMENTO,25/11/2002,-,"-2.6067972784611344,-44.18562108716156",-2.6067972784611344,-44.18562108716156
2026,2026/04,NORDESTE,MA,211130,SAO LUIS,2881314,CLINICA DA FAMILIA MORADA DO SOL,MUNICIPIO DE SAO LUIS SECRETARIA MUNICIPAL DE SAUDE,,05.760.293/0001-29,012 ATENCAO BASICA,"SUS|AMBULATORIAL, SUS|SADT",02 CENTRO DE SAUDE/UNIDADE BASICA,,001 UNIDADE BASICA DE SAUDE,PÚBLICO,1031 ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL,MUNICIPAL,SIM,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE",03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,-,-,ATIVO,RUA 10 - S/N,,,65010-000,MORAD DO SOL,luarcuri03@hotmail.com,LUCIANA CARVALHO ARCURI,07/04/2022,-,"-2.646422449932016,-44.29935038785313",-2.646422449932016,-44.29935038785313
