fid,CD_SETOR,SITUACAO,CD_SIT,CD_TIPO,AREA_KM2,CD_REGIAO,NM_REGIAO,CD_UF,NM_UF,CD_MUN,NM_MUN,CD_DIST,NM_DIST,CD_SUBDIST,NM_SUBDIST,CD_BAIRRO,NM_BAIRRO,CD_NU,NM_NU,CD_FCU,NM_FCU,CD_AGLOM,NM_AGLOM,CD_RGINT,NM_RGINT,CD_RGI,NM_RGI,CD_CONCURB,NM_CONCURB,fid_2,CNES,NOME FANTASIA,NÍVEL DE ATENÇÃO,TURNO DE ATENDIMENTO,latitude,longitude,capacidade/mes,servicos_inferidos,COBERTURA,SITUACAO_COBERTURA,fid_3,CNES_2,NOME FANTASIA_2,NÍVEL DE ATENÇÃO_2,TURNO DE ATENDIMENTO_2,latitude_2,longitude_2,capacidade/mes_2,servicos_inferidos_2,n,distance,feature_x,feature_y,nearest_x,nearest_y
1,"211130005000001",Urbana,"1","0",0.077727732065747,"2",Nordeste,"21",Maranhão,"2111300",São Luís,"211130005",São Luís,"21113000500",,,,,,,,,,"2101",São Luís,"210001",São Luís,"2111300",São Luís/MA,1,2456834,CENTRO DE SAUDE QUEBRA POTE,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE",-2.6923404,-44.2155818,6000,"atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas",Coberto,Coberto,60,6929370,UNIDADE PRISIONAL DE RESSOCIALIZACAO FEMININA,AMBULATORIAL - 02 MEDIA COMPLEXIDADE,"06 ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",-2.5318,-44.2979,6000,especialidades ambulatoriais não identificadas,1,6.73353941247769,578047.367088672,9720132.55505202,578052.358010321,9720137.0751465
2,"211130005000002",Urbana,"1","0",0.087708088750597,"2",Nordeste,"21",Maranhão,"2111300",São Luís,"211130005",São Luís,"21113000500",,,,,,,,,,"2101",São Luís,"210001",São Luís,"2111300",São Luís/MA,1,2456834,CENTRO DE SAUDE QUEBRA POTE,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE",-2.6923404,-44.2155818,6000,"atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas",Coberto,Coberto,60,6929370,UNIDADE PRISIONAL DE RESSOCIALIZACAO FEMININA,AMBULATORIAL - 02 MEDIA COMPLEXIDADE,"06 ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",-2.5318,-44.2979,6000,especialidades ambulatoriais não identificadas,1,343.794486490075,577710.262425136,9720102.93924842,578052.358010321,9720137.0751465
3,"211130005000003",Urbana,"1","0",0.158955806685443,"2",Nordeste,"21",Maranhão,"2111300",São Luís,"211130005",São Luís,"21113000500",,,,,,,,,,"2101",São Luís,"210001",São Luís,"2111300",São Luís/MA,1,2456834,CENTRO DE SAUDE QUEBRA POTE,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE",-2.6923404,-44.2155818,6000,"atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas",Coberto,Coberto,60,6929370,UNIDADE PRISIONAL DE RESSOCIALIZACAO FEMININA,AMBULATORIAL - 02 MEDIA COMPLEXIDADE,"06 ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",-2.5318,-44.2979,6000,especialidades ambulatoriais não identificadas,1,408.210098774607,577689.375913516,9720323.83564056,578052.358010321,9720137.0751465
4,"211130005000004",Urbana,"1","0",0.074461087420713,"2",Nordeste,"21",Maranhão,"2111300",São Luís,"211130005",São Luís,"21113000500",,,,,,,,,,"2101",São Luís,"210001",São Luís,"2111300",São Luís/MA,1,2456834,CENTRO DE SAUDE QUEBRA POTE,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE",-2.6923404,-44.2155818,6000,"atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas",Coberto,Coberto,49,7152744,NUCLEO DE ASSISTENCIA DE SAUDE NAS,AMBULATORIAL - 02 MEDIA COMPLEXIDADE,"04 ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",-2.53,-44.297,6000,especialidades ambulatoriais não identificadas,1,125.278672891533,578054.803241387,9720414.38688368,578152.523725662,9720335.993945
5,"211130005000005",Urbana,"1","0",0.182871559789966,"2",Nordeste,"21",Maranhão,"2111300",São Luís,"211130005",São Luís,"21113000500",,,,,,,,,,"2101",São Luís,"210001",São Luís,"2111300",São Luís/MA,1,2456834,CENTRO DE SAUDE QUEBRA POTE,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE",-2.6923404,-44.2155818,6000,"atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas",Coberto,Coberto,23,929417,CLINICA DA FAMILIA DO CENTRO,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE",-2.53066464097071,-44.2953850236779,6000,"atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas",1,189.254563774482,578384.970117335,9720444.1260292,578332.029850417,9720262.42677756
6,"211130005000006",Urbana,"1","0",0.352066778068676,"2",Nordeste,"21",Maranhão,"2111300",São Luís,"211130005",São Luís,"21113000500",,,,,,,,,,"2101",São Luís,"210001",São Luís,"2111300",São Luís/MA,1,2456834,CENTRO DE SAUDE QUEBRA POTE,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE",-2.6923404,-44.2155818,6000,"atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas",Coberto,Coberto,35,2876175,CENTRO DE SAUDE BAIRRO DE FATIMA,AMBULATORIAL - 01 ATENCAO BASICA,"03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE",-2.53434,-44.29292,3000,"atenção básica; clínica geral; enfermagem",1,15.2002390400169,578600.830684675,9719870.34561426,578605.858848017,9719856.00110868
7,"211130005000007",Urbana,"1","0",0.13188360095682,"2",Nordeste,"21",Maranhão,"2111300",São Luís,"211130005",São Luís,"21113000500",,,,,,,,,,"2101",São Luís,"210001",São Luís,"2111300",São Luís/MA,1,2456834,CENTRO DE SAUDE QUEBRA POTE,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE",-2.6923404,-44.2155818,6000,"atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas",Coberto,Coberto,60,6929370,UNIDADE PRISIONAL DE RESSOCIALIZACAO FEMININA,AMBULATORIAL - 02 MEDIA COMPLEXIDADE,"06 ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",-2.5318,-44.2979,6000,especialidades ambulatoriais não identificadas,1,207.188317808864,578155.653666531,9719957.47279005,578052.358010321,9720137.0751465
8,"211130005000008",Urbana,"1","0",0.131878693897143,"2",Nordeste,"21",Maranhão,"2111300",São Luís,"211130005",São Luís,"21113000500",,,,,,,,,,"2101",São Luís,"210001",São Luís,"2111300",São Luís/MA,1,2456834,CENTRO DE SAUDE QUEBRA POTE,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE",-2.6923404,-44.2155818,6000,"atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas",Coberto,Coberto,27,5992982,CLINICA DA FAMILIA VILA MARANHAO,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE",-2.53599,-44.2972982,6000,"atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas",1,301.731465148832,577854.370090198,9719818.80986987,578119.01224546,9719673.87399882
9,"211130005000009",Urbana,"1","0",0.423875713012178,"2",Nordeste,"21",Maranhão,"2111300",São Luís,"211130005",São Luís,"21113000500",,,,,,,,,,"2101",São Luís,"210001",São Luís,"2111300",São Luís/MA,1,2456834,CENTRO DE SAUDE QUEBRA POTE,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE",-2.6923404,-44.2155818,6000,"atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas",Coberto,Coberto,60,6929370,UNIDADE PRISIONAL DE RESSOCIALIZACAO FEMININA,AMBULATORIAL - 02 MEDIA COMPLEXIDADE,"06 ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",-2.5318,-44.2979,6000,especialidades ambulatoriais não identificadas,1,794.137774955689,577327.336158217,9719813.04101314,578052.358010321,9720137.0751465
10,"211130005000010",Urbana,"1","0",0.117259187147147,"2",Nordeste,"21",Maranhão,"2111300",São Luís,"211130005",São Luís,"21113000500",,,,,,,,,,"2101",São Luís,"210001",São Luís,"2111300",São Luís/MA,1,2456834,CENTRO DE SAUDE QUEBRA POTE,"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE",-2.6923404,-44.2155818,6000,"atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas",Coberto,Coberto,60,6929370,UNIDADE PRISIONAL DE RESSOCIALIZACAO FEMININA,AMBULATORIAL - 02 MEDIA COMPLEXIDADE,"06 ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",-2.5318,-44.2979,6000,especialidades ambulatoriais não identificadas,1,657.905326708275,577403.255399353,9720029.81276099,578052.358010321,9720137.0751465
