"CNES";"NOME FANTASIA";"NÍVEL DE ATENÇÃO";"NIVEL_REFERENCIA";"PESO_COMPLEXIDADE";"CAPACIDADE/MES";"CAPACIDADE_PONDERADA";"SETORES_COBERTOS";"SETORES_COM_PEQ";"SETORES_SEM_PEQ";"POPULACAO_EQUIVALENTE";"INDICE_SOBRECARGA";"CLASSIFICACAO";"latitude";"longitude"
"978841";"CENTRO DE SAUDE DIVINEIA";"AMBULATORIAL - 01 ATENCAO BASICA";"I";"0.8";"3000";"2400";"64";"63";"1";"43351.8";"18.0633";"Sobrecarregado";"-2.4907569539911787";"-44.220893264233084"
"2308444";"CENTRO DE SAUDE AMAR";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"147";"142";"5";"88382.3";"14.7304";"Sobrecarregado";"-2.5116108045512435";"-44.236713363671555"
"2455838";"CENTRO DE SAUDE DO JOAO PAULO";"AMBULATORIAL - 01 ATENCAO BASICA";"I";"0.8";"3000";"2400";"44";"42";"2";"32636.5";"13.5985";"Sobrecarregado";"-2.5445474322498587";"-44.273101187415165"
"2309297";"CENTRO DE SAUDE SAO RAIMUNDO";"AMBULATORIAL - 01 ATENCAO BASICA";"I";"0.8";"3000";"2400";"34";"34";"0";"28874";"12.0308";"Sobrecarregado";"-2.5500168541046593";"-44.33085997676431"
"2455765";"CLINICA DA FAMILIA DO SACAVEM";"AMBULATORIAL - 01 ATENCAO BASICA";"I";"0.8";"3000";"2400";"34";"34";"0";"24167";"10.0696";"Sobrecarregado";"-2.5578223458788916";"-44.261012570655836"
"2308797";"CENTRO DE SAUDE DO RADIONAL";"AMBULATORIAL - 01 ATENCAO BASICA";"I";"0.8";"3000";"2400";"29";"29";"0";"21811.6";"9.0882";"Sobrecarregado";"-2.548090933327575";"-44.250212995661094"
"2456869";"CENTRO DE SAUDE VILA BACANGA EMBRIAO";"AMBULATORIAL - 01 ATENCAO BASICA";"I";"0.8";"3000";"2400";"24";"24";"0";"20676.6";"8.6153";"Sobrecarregado";"-2.5561938542921947";"-44.31182021404424"
"3365816";"CENTRO DE SAUDE DR ANTONIO GUANARE";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"69";"67";"2";"49167.2";"8.1945";"Sobrecarregado";"-2.567433944452719";"-44.2691215926497"
"2645807";"CENTRO DE SAUDE SANTA EFIGENIA";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"57";"57";"0";"49051.6";"8.1753";"Sobrecarregado";"-2.576758213711975";"-44.19195808377194"
"7071116";"CENTRO DE SAUDE DRA VALDECY ELEOTERIA MARTINS";"AMBULATORIAL - 01 ATENCAO BASICA";"I";"0.8";"3000";"2400";"29";"29";"0";"19549.9";"8.1458";"Sobrecarregado";"-2.5696933044785073";"-44.299453578023545"
