CNES;NOME_FANTASIA;NIVEL_REFERENCIA;CD_SETOR;POPULACAO;POPULACAO_INFANTIL;POPULACAO_IDOSA;ALTA_INFANTIL;ALTA_IDOSA;SERVICOS_DISPONIVEL;MOTIVO
666394.0;CENTRO DE SAUDE BARRETO;I;211130005000129;798;36.0;149.0;False;True;"atenção básica; clínica geral; enfermagem";Falta atendimento ao idoso
666394.0;CENTRO DE SAUDE BARRETO;I;211130005000129;798;36.0;149.0;False;True;"atenção básica; clínica geral; enfermagem";Falta atendimento ao idoso
666394.0;CENTRO DE SAUDE BARRETO;I;211130005000129;798;36.0;149.0;False;True;"atenção básica; clínica geral; enfermagem";Falta atendimento ao idoso
666394.0;CENTRO DE SAUDE BARRETO;I;211130005000129;798;36.0;149.0;False;True;"atenção básica; clínica geral; enfermagem";Falta atendimento ao idoso
666394.0;CENTRO DE SAUDE BARRETO;I;211130005000129;798;36.0;149.0;False;True;"atenção básica; clínica geral; enfermagem";Falta atendimento ao idoso
666394.0;CENTRO DE SAUDE BARRETO;I;211130005000129;798;36.0;149.0;False;True;"atenção básica; clínica geral; enfermagem";Falta atendimento ao idoso
666394.0;CENTRO DE SAUDE BARRETO;I;211130005000129;798;36.0;149.0;False;True;"atenção básica; clínica geral; enfermagem";Falta atendimento ao idoso
666394.0;CENTRO DE SAUDE BARRETO;I;211130005000129;798;36.0;149.0;False;True;"atenção básica; clínica geral; enfermagem";Falta atendimento ao idoso
666394.0;CENTRO DE SAUDE BARRETO;I;211130005000129;798;36.0;149.0;False;True;"atenção básica; clínica geral; enfermagem";Falta atendimento ao idoso
666394.0;CENTRO DE SAUDE BARRETO;I;211130005000129;798;36.0;149.0;False;True;"atenção básica; clínica geral; enfermagem";Falta atendimento ao idoso
666394.0;CENTRO DE SAUDE BARRETO;I;211130005000129;798;36.0;149.0;False;True;"atenção básica; clínica geral; enfermagem";Falta atendimento ao idoso
666394.0;CENTRO DE SAUDE BARRETO;I;211130005000129;798;36.0;149.0;False;True;"atenção básica; clínica geral; enfermagem";Falta atendimento ao idoso
666394.0;CENTRO DE SAUDE BARRETO;I;211130005000129;798;36.0;149.0;False;True;"atenção básica; clínica geral; enfermagem";Falta atendimento ao idoso
666394.0;CENTRO DE SAUDE BARRETO;I;211130005000129;798;36.0;149.0;False;True;"atenção básica; clínica geral; enfermagem";Falta atendimento ao idoso
666394.0;CENTRO DE SAUDE BARRETO;I;211130005000129;798;36.0;149.0;False;True;"atenção básica; clínica geral; enfermagem";Falta atendimento ao idoso
666394.0;CENTRO DE SAUDE BARRETO;I;211130005000129;798;36.0;149.0;False;True;"atenção básica; clínica geral; enfermagem";Falta atendimento ao idoso
666394.0;CENTRO DE SAUDE BARRETO;I;211130005000129;798;36.0;149.0;False;True;"atenção básica; clínica geral; enfermagem";Falta atendimento ao idoso
666394.0;CENTRO DE SAUDE BARRETO;I;211130005000129;798;36.0;149.0;False;True;"atenção básica; clínica geral; enfermagem";Falta atendimento ao idoso
