"CNES","NOME FANTASIA","NÍVEL DE ATENÇÃO","TURNO DE ATENDIMENTO","latitude","longitude","capacidade/mes","servicos_inferidos"
"2456834","CENTRO DE SAUDE QUEBRA POTE","AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.6923404","-44.2155818","6000","atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas"
"2455838","CENTRO DE SAUDE DO JOAO PAULO","AMBULATORIAL - 01 ATENCAO BASICA","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.5445474322498587","-44.273101187415165","3000","atenção básica; clínica geral; enfermagem"
"2645807","CENTRO DE SAUDE SANTA EFIGENIA","AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.576758213711975","-44.19195808377194","6000","atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas"
"2309440","CENTRO DE SAUDE ITAPERA","AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.678204820715199","-44.27637353827428","6000","atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas"
"2698005","CENTRO DE SAUDE DR JOSE RIBAMAR FRAZAO CORREA","AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.6422066246014846","-44.27605244740161","6000","atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas"
"2697971","CENTRO DE SAUDE DJALMA MARQUES","AMBULATORIAL - 01 ATENCAO BASICA","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.5240511428916443","-44.21658153251017","3000","atenção básica; clínica geral; enfermagem"
"3376265","CENTRO DE SAUDE VILA EMBRATEL","AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.569615550253985","-44.30984275401932","6000","atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas"
"2458780","CENTRO DE SAUDE DO TIBIRI","AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.612061100986133","-44.2470294728033","6000","atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas"
"2645750","CENTRO DE SAUDE JAILSON ALVES VIANA OLIMPICA III","AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.6067972784611344","-44.18562108716156","6000","atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas"
"2881314","CLINICA DA FAMILIA MORADA DO SOL","AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.646422449932016","-44.29935038785313","6000","atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas"
"2309297","CENTRO DE SAUDE SAO RAIMUNDO","AMBULATORIAL - 01 ATENCAO BASICA","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.5500168541046593","-44.33085997676431","3000","atenção básica; clínica geral; enfermagem"
"8181918","CENTRO DE SAUDE DIAMANTE","AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.818","-44.1918","6000","atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas"
"2702878","CENTRO DE SAUDE SANTA BARBARA","AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.60337042420126","-44.2118391973621","6000","atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas"
"2456869","CENTRO DE SAUDE VILA BACANGA EMBRIAO","AMBULATORIAL - 01 ATENCAO BASICA","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.5561938542921947","-44.31182021404424","3000","atenção básica; clínica geral; enfermagem"
"2645866","CENTRO DE SAUDE COQUEIRO","AMBULATORIAL - 01 ATENCAO BASICA","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.7276744859525066","-44.35952201125836","3000","atenção básica; clínica geral; enfermagem"
"2456923","CENTRO DE SAUDE DE PEDRINHAS II","AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.691778623685647","-44.30434244724972","6000","atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas"
"2645785","CENTRO DE SAUDE MARIA AYRECILA CIDADE OLIMPICA II","AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.594009468306554","-44.17993899166727","6000","atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas"
"2464624","CLINICA DA FAMILIA DO ANJO DA GUARDA","AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.5647562193436158","-44.33297485406862","6000","atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas"
"9904638","UNIDADE BASICA DE SAUDE CINTRA","AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.5444839051355443","-44.237876252617134","6000","atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas"
"2308444","CENTRO DE SAUDE AMAR","AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.5116108045512435","-44.236713363671555","6000","atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas"
"4091426","UNIDADE PRISIONAL DE RESSOCIALIZACAO DE SAO LUIS UPR 2","AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.531","-44.2972","6000","atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas"
"3226387","CENTRO DE SAUDE DA VILA LOBAO","AMBULATORIAL - 01 ATENCAO BASICA","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.563613414969277","-44.243098012280825","3000","atenção básica; clínica geral; enfermagem"
"929417","CLINICA DA FAMILIA DO CENTRO","AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.530664640970709","-44.2953850236779","6000","atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas"
"2309289","CENTRO DE SAUDE COHAB ANIL","AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE","03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE","-2.5349738537756337","-44.217061749084834","6000","atenção básica; clínica geral; enfermagem; especialidades ambulatoriais não identificadas"
