"CNES";"NOME FANTASIA";"NÍVEL DE ATENÇÃO";"NIVEL_REFERENCIA";"PESO_COMPLEXIDADE";"CAPACIDADE/MES";"CAPACIDADE_PONDERADA";"SETORES_COBERTOS";"SETORES_COM_PEQ";"SETORES_SEM_PEQ";"POPULACAO_EQUIVALENTE";"INDICE_SOBRECARGA";"latitude";"longitude";"CLASSIFICACAO"
"978841";"CENTRO DE SAUDE DIVINEIA";"AMBULATORIAL - 01 ATENCAO BASICA";"I";"0.8";"3000";"2400";"64";"63";"1";"43351.8";"18.0633";"-2.49075695399118";"-44.2208932642331";"Sobrecarregado"
"2308444";"CENTRO DE SAUDE AMAR";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"146";"141";"5";"88382.3";"14.7304";"-2.51161080455124";"-44.2367133636716";"Sobrecarregado"
"2455838";"CENTRO DE SAUDE DO JOAO PAULO";"AMBULATORIAL - 01 ATENCAO BASICA";"I";"0.8";"3000";"2400";"44";"42";"2";"32636.5";"13.5985";"-2.54454743224986";"-44.2731011874152";"Sobrecarregado"
"2309297";"CENTRO DE SAUDE SAO RAIMUNDO";"AMBULATORIAL - 01 ATENCAO BASICA";"I";"0.8";"3000";"2400";"34";"34";"0";"28874";"12.0308";"-2.55001685410466";"-44.3308599767643";"Sobrecarregado"
"2455765";"CLINICA DA FAMILIA DO SACAVEM";"AMBULATORIAL - 01 ATENCAO BASICA";"I";"0.8";"3000";"2400";"33";"33";"0";"24167";"10.0696";"-2.55782234587889";"-44.2610125706558";"Sobrecarregado"
"2308797";"CENTRO DE SAUDE DO RADIONAL";"AMBULATORIAL - 01 ATENCAO BASICA";"I";"0.8";"3000";"2400";"29";"29";"0";"21811.6";"9.0882";"-2.54809093332757";"-44.2502129956611";"Sobrecarregado"
"2456869";"CENTRO DE SAUDE VILA BACANGA EMBRIAO";"AMBULATORIAL - 01 ATENCAO BASICA";"I";"0.8";"3000";"2400";"24";"24";"0";"20676.6";"8.6153";"-2.55619385429219";"-44.3118202140442";"Sobrecarregado"
"3365816";"CENTRO DE SAUDE DR ANTONIO GUANARE";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"69";"67";"2";"49167.2";"8.1945";"-2.56743394445272";"-44.2691215926497";"Sobrecarregado"
"2645807";"CENTRO DE SAUDE SANTA EFIGENIA";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"57";"57";"0";"49051.6";"8.1753";"-2.57675821371198";"-44.1919580837719";"Sobrecarregado"
"7071116";"CENTRO DE SAUDE DRA VALDECY ELEOTERIA MARTINS";"AMBULATORIAL - 01 ATENCAO BASICA";"I";"0.8";"3000";"2400";"27";"27";"0";"19549.9";"8.1458";"-2.56969330447851";"-44.2994535780235";"Sobrecarregado"
"2645890";"CENTRO DE SAUDE IPEM SAO CRISTOVAO";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"56";"56";"0";"41884.7";"6.9808";"-2.56838107497733";"-44.2177699046536";"Sobrecarregado"
"2697971";"CENTRO DE SAUDE DJALMA MARQUES";"AMBULATORIAL - 01 ATENCAO BASICA";"I";"0.8";"3000";"2400";"33";"31";"2";"16650.9";"6.9379";"-2.52405114289164";"-44.2165815325102";"Sobrecarregado"
"2876175";"CENTRO DE SAUDE BAIRRO DE FATIMA";"AMBULATORIAL - 01 ATENCAO BASICA";"I";"0.8";"3000";"2400";"23";"23";"0";"15984.4";"6.6602";"-2.53434";"-44.29292";"Sobrecarregado"
"666394";"CENTRO DE SAUDE BARRETO";"AMBULATORIAL - 01 ATENCAO BASICA";"I";"0.8";"3000";"2400";"20";"20";"0";"15593";"6.4971";"-2.54414706418044";"-44.2603936052196";"Sobrecarregado"
"7798342";"CENTRO DE SAUDE DR EXPEDITO ALVES DE MELO";"AMBULATORIAL - 01 ATENCAO BASICA";"I";"0.8";"3000";"2400";"29";"27";"2";"15208.3";"6.3368";"-2.60632565543694";"-44.1879706877025";"Sobrecarregado"
"9904638";"UNIDADE BASICA DE SAUDE CINTRA";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"55";"54";"1";"37931.1";"6.3219";"-2.54448390513554";"-44.2378762526171";"Sobrecarregado"
"842761";"CENTRO DE SAUDE IPASE";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"59";"58";"1";"37691.4";"6.2819";"-2.53301580151656";"-44.2578626061712";"Sobrecarregado"
"9784950";"PROCURADORIA GERAL DA JUSTICA UNIDADE CONSULTORIO MEDICO";"AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"58";"57";"1";"36894.9";"6.1492";"-2.51";"-44.287";"Sobrecarregado"
"724203";"UBS VEREADOR BATISTA MATOS ALEMANHA";"AMBULATORIAL - 01 ATENCAO BASICA";"I";"0.8";"3000";"2400";"18";"18";"0";"13887.1";"5.7863";"-2.5373979594756";"-44.269559700581";"Sobrecarregado"
"2309998";"CENTRO DE SAUDE BEZERRA DE MENESES";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"51";"51";"0";"32324.7";"5.3875";"-2.50807513351824";"-44.3047296428076";"Sobrecarregado"
"2698013";"CENTRO DE SAUDE GENESIO RAMOS FILHO";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"46";"45";"1";"32175.6";"5.3626";"-2.54167591857726";"-44.215630902758";"Sobrecarregado"
"3226387";"CENTRO DE SAUDE DA VILA LOBAO";"AMBULATORIAL - 01 ATENCAO BASICA";"I";"0.8";"3000";"2400";"20";"20";"0";"11396.9";"4.7487";"-2.56361341496928";"-44.2430980122808";"Sobrecarregado"
"2310058";"CLINICA DA FAMILIA DO TURU";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"52";"50";"2";"28380.9";"4.7302";"-2.50265253703976";"-44.2229526651097";"Sobrecarregado"
"2464624";"CLINICA DA FAMILIA DO ANJO DA GUARDA";"AMBULATORIAL - 01 ATENCAO BASICA, AMBULATORIAL - 02 MEDIA COMPLEXIDADE";"II";"1.0";"6000";"6000";"32";"32";"0";"25343.9";"4.2240";"-2.56475621934362";"-44.3329748540686";"Sobrecarregado"
