fid,CD_SETOR,SITUACAO,CD_SIT,CD_TIPO,AREA_KM2,CD_REGIAO,NM_REGIAO,CD_UF,NM_UF,CD_MUN,NM_MUN,CD_DIST,NM_DIST,CD_SUBDIST,NM_SUBDIST,CD_BAIRRO,NM_BAIRRO,CD_NU,NM_NU,CD_FCU,NM_FCU,CD_AGLOM,NM_AGLOM,CD_RGINT,NM_RGINT,CD_RGI,NM_RGI,CD_CONCURB,NM_CONCURB,fid_2,CNES,NOME FANTASIA,NÍVEL DE ATENÇÃO,TURNO DE ATENDIMENTO,latitude,longitude,capacidade/mes,servicos_inferidos
774,"211130005000968",Urbana,"1","1",1.61370594668469,"2",Nordeste,"21",Maranhão,"2111300",São Luís,"211130005",São Luís,"21113000500",,,,,,"21113000109",Juçara,,,"2101",São Luís,"210001",São Luís,"2111300",São Luís/MA,15,2645866,CENTRO DE SAUDE COQUEIRO,AMBULATORIAL - 01 ATENCAO BASICA,"03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE",-2.72767448595251,-44.3595220112584,3000,"atenção básica; clínica geral; enfermagem"
1047,"211130005001294",Urbana,"1","0",1.86412812606373,"2",Nordeste,"21",Maranhão,"2111300",São Luís,"211130005",São Luís,"21113000500",,,,,,,,,,"2101",São Luís,"210001",São Luís,"2111300",São Luís/MA,15,2645866,CENTRO DE SAUDE COQUEIRO,AMBULATORIAL - 01 ATENCAO BASICA,"03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE",-2.72767448595251,-44.3595220112584,3000,"atenção básica; clínica geral; enfermagem"
1397,"211130005001668",Urbana,"2","4",0.400588075352354,"2",Nordeste,"21",Maranhão,"2111300",São Luís,"211130005",São Luís,"21113000500",,,,,,,,,,"2101",São Luís,"210001",São Luís,"2111300",São Luís/MA,15,2645866,CENTRO DE SAUDE COQUEIRO,AMBULATORIAL - 01 ATENCAO BASICA,"03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE",-2.72767448595251,-44.3595220112584,3000,"atenção básica; clínica geral; enfermagem"
1398,"211130005001669",Urbana,"1","1",0.324372134301344,"2",Nordeste,"21",Maranhão,"2111300",São Luís,"211130005",São Luís,"21113000500",,,,,,"21113000104",Vila Samara I,,,"2101",São Luís,"210001",São Luís,"2111300",São Luís/MA,15,2645866,CENTRO DE SAUDE COQUEIRO,AMBULATORIAL - 01 ATENCAO BASICA,"03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE",-2.72767448595251,-44.3595220112584,3000,"atenção básica; clínica geral; enfermagem"
1401,"211130005001672",Urbana,"1","1",0.329742685762465,"2",Nordeste,"21",Maranhão,"2111300",São Luís,"211130005",São Luís,"21113000500",,,,,,"21113000105",Vila Samara II,,,"2101",São Luís,"210001",São Luís,"2111300",São Luís/MA,15,2645866,CENTRO DE SAUDE COQUEIRO,AMBULATORIAL - 01 ATENCAO BASICA,"03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE",-2.72767448595251,-44.3595220112584,3000,"atenção básica; clínica geral; enfermagem"
1625,"211130005001908",Rural,"8","0",30.4634505269489,"2",Nordeste,"21",Maranhão,"2111300",São Luís,"211130005",São Luís,"21113000500",,,,,,,,,,"2101",São Luís,"210001",São Luís,"2111300",São Luís/MA,15,2645866,CENTRO DE SAUDE COQUEIRO,AMBULATORIAL - 01 ATENCAO BASICA,"03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE",-2.72767448595251,-44.3595220112584,3000,"atenção básica; clínica geral; enfermagem"
1626,"211130005001909",Rural,"5","0",0.449390711387349,"2",Nordeste,"21",Maranhão,"2111300",São Luís,"211130005",São Luís,"21113000500",,,,,,,,"211130000133",Portinho,"2101",São Luís,"210001",São Luís,"2111300",São Luís/MA,15,2645866,CENTRO DE SAUDE COQUEIRO,AMBULATORIAL - 01 ATENCAO BASICA,"03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE",-2.72767448595251,-44.3595220112584,3000,"atenção básica; clínica geral; enfermagem"
1638,"211130005001921",Urbana,"2","0",1.72507294431629,"2",Nordeste,"21",Maranhão,"2111300",São Luís,"211130005",São Luís,"21113000500",,,,,,,,,,"2101",São Luís,"210001",São Luís,"2111300",São Luís/MA,15,2645866,CENTRO DE SAUDE COQUEIRO,AMBULATORIAL - 01 ATENCAO BASICA,"03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE",-2.72767448595251,-44.3595220112584,3000,"atenção básica; clínica geral; enfermagem"
1639,"211130005001922",Urbana,"2","0",0.326912768174605,"2",Nordeste,"21",Maranhão,"2111300",São Luís,"211130005",São Luís,"21113000500",,,,,,,,,,"2101",São Luís,"210001",São Luís,"2111300",São Luís/MA,15,2645866,CENTRO DE SAUDE COQUEIRO,AMBULATORIAL - 01 ATENCAO BASICA,"03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE",-2.72767448595251,-44.3595220112584,3000,"atenção básica; clínica geral; enfermagem"
1701,"211130005001984",Urbana,"2","4",26.8195062217659,"2",Nordeste,"21",Maranhão,"2111300",São Luís,"211130005",São Luís,"21113000500",,,,,,,,,,"2101",São Luís,"210001",São Luís,"2111300",São Luís/MA,15,2645866,CENTRO DE SAUDE COQUEIRO,AMBULATORIAL - 01 ATENCAO BASICA,"03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE",-2.72767448595251,-44.3595220112584,3000,"atenção básica; clínica geral; enfermagem"
377,"211130005000457",Urbana,"1","0",0.072861473360767,"2",Nordeste,"21",Maranhão,"2111300",São Luís,"211130005",São Luís,"21113000500",,,,,,,,,,"2101",São Luís,"210001",São Luís,"2111300",São Luís/MA,11,2309297,CENTRO DE SAUDE SAO RAIMUNDO,AMBULATORIAL - 01 ATENCAO BASICA,"03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE",-2.55001685410466,-44.3308599767643,3000,"atenção básica; clínica geral; enfermagem"
378,"211130005000458",Urbana,"1","0",0.082045580708717,"2",Nordeste,"21",Maranhão,"2111300",São Luís,"211130005",São Luís,"21113000500",,,,,,,,,,"2101",São Luís,"210001",São Luís,"2111300",São Luís/MA,11,2309297,CENTRO DE SAUDE SAO RAIMUNDO,AMBULATORIAL - 01 ATENCAO BASICA,"03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE",-2.55001685410466,-44.3308599767643,3000,"atenção básica; clínica geral; enfermagem"
379,"211130005000459",Urbana,"1","0",0.03300601612228,"2",Nordeste,"21",Maranhão,"2111300",São Luís,"211130005",São Luís,"21113000500",,,,,,,,,,"2101",São Luís,"210001",São Luís,"2111300",São Luís/MA,11,2309297,CENTRO DE SAUDE SAO RAIMUNDO,AMBULATORIAL - 01 ATENCAO BASICA,"03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE",-2.55001685410466,-44.3308599767643,3000,"atenção básica; clínica geral; enfermagem"
386,"211130005000468",Urbana,"1","1",0.320320137063637,"2",Nordeste,"21",Maranhão,"2111300",São Luís,"211130005",São Luís,"21113000500",,,,,,"21113000057",Vila São Raimundo,,,"2101",São Luís,"210001",São Luís,"2111300",São Luís/MA,11,2309297,CENTRO DE SAUDE SAO RAIMUNDO,AMBULATORIAL - 01 ATENCAO BASICA,"03 ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE",-2.55001685410466,-44.3308599767643,3000,"atenção básica; clínica geral; enfermagem"
